Where is your company/university located?	You mainly work for a...	Which is your level of knowledge of DevOps practices?	Software deployment using increments in small batches.	Limit the work in progress (WIP).	Use of visual management tools (physical boards, specific software...).	Choose the visual management tools used or taught.	Retrieve feedback from other departments (such as production) or users.	Choose the types of feedback received or taught.	Pass code through lightweight change approvals.	Choose the types of lightweight change approvals used or taught.	Continuous Integration (CI).	Continuous Deployment/Delivery (CD).	Test Automation inside a Continuous Integration (CI) environment.	Choose the Test methods used or taught in a Continuous Integration (CI) environment.	Test Automation inside a Staging environment.	Choose the types of Test methods used or taught in a Staging environment.	Version Control.	Choose the elements used or taught with Version Control.	Trunk-Based Development.	Choose the Version Control development method used or taught.	Shift Left on Security.	Loosely Coupled Architectures.	In the Coupled Architectures used or taught, each deployment involves...	In the Loosely Coupled Architectures, Microservices are used or taught.	When partners work together, teams...	Agile development.	Choose the agile development methodologies or frameworks used or taught.	How many years of experience do you have in using or teaching DevOps practices?	How do you rate the degree of implementation of DevOps in your organization/department?	How do you rate the value that DevOps adds to your organization/clients/students?
Spain	1	2	1	1	0		1	Explicit feedback (surveys, emails...), Metrics (usage, errors, load...)	1	From client, From development team, From team coordinator/manager	1	1	1	Unit tests, Integration tests, User Acceptance Tests (UAT), Automated UAT	1	Unit tests, Integration tests, User Acceptance Tests (UAT), Automated UAT	1	Source code, Dependencies, Scripts, Configuration files (Travis, Puppet, Docker, Kubernetes...), Firewall rules	0	Git-flow	1	0	The whole system		Are self-organizing	1	Scrum, Kanban, Hybrid (Agile and non-Agile methodologies together)	1	2	4
Spain	1	3	1	0	0		1	Explicit feedback (surveys, emails...), Metrics (usage, errors, load...)	1	From development team, From team coordinator/manager	1	1	1	Unit tests	0		1	Source code, Dependencies, Scripts, Configuration files (Travis, Puppet, Docker, Kubernetes...)	0	Git-flow	1	1		0.0	Are self-organizing	0		1	3	3
Spain	1	4	1	1	1	Software	1	Metrics (usage, errors, load...)	1	From development team	1	1	1	Unit tests, Integration tests	1	Unit tests, Integration tests	1	Source code, Dependencies, Scripts, Configuration files (Travis, Puppet, Docker, Kubernetes...), Built files from source code	0	Multiple branches (per client, release...)	0	1		1.0	Are self-organizing, Choose their own development tools	0		3	4	5
Spain	1	5	1	1	1	Physical boards, Software	1	Explicit feedback (surveys, emails...)	1	From development team	1	1	1		1	Unit tests, Integration tests	1	Source code, Dependencies, Scripts, Configuration files (Travis, Puppet, Docker, Kubernetes...), Test data management	0	Git-flow	0	1		1.0	Choose their own development tools	1	Scrum, Kanban, Lean	2	5	5
Spain	1	5	1	1	1	Physical boards, Software	1	Explicit feedback (surveys, emails...), Metrics (usage, errors, load...)	1	From client, From team coordinator/manager	1	1	1	Unit tests, Integration tests, Smoke tests, Load tests	1	Unit tests, Integration tests, Smoke tests, Load tests	1	Source code, Dependencies, Scripts, Configuration files (Travis, Puppet, Docker, Kubernetes...), Firewall rules	1		1	1		1.0	Are self-organizing	1	Hybrid (Agile and non-Agile methodologies together)	3	4	4
Turkey	1	4	1	1	1	Physical boards, Software	1	Metrics (usage, errors, load...)	1	From client	1	1	1	Unit tests, Integration tests, Load tests	1	Load tests	1	Dependencies, Test data management	1		1	1		1.0	Are self-organizing	1	Scrum, Kanban	3	5	5
Moldova	1	5	1	1	1	Software	1	Metrics (usage, errors, load...)	0		1	1	1	Unit tests, Smoke tests, User Acceptance Tests (UAT), Automated UAT	0		1	Source code, Scripts, Configuration files (Travis, Puppet, Docker, Kubernetes...)	0	Git-flow	0	0	Several modules		Are self-organizing	1	Scrum, Kanban	1	4	5
Romania	1	4	1	0	1	Physical boards, Software, Confluence, Jira	1	Metrics (usage, errors, load...)	0		1	1	1	Unit tests, Integration tests, Smoke tests, User Acceptance Tests (UAT)	1	Integration tests, Smoke tests	1	Source code, Scripts, Built files from source code	1		0	0	The whole system		Are self-organizing	1	Scrum, Kanban, Lean	2	3	5
Moldova	1	5	1	1	0		1	Metrics (usage, errors, load...)	1	From development team, From team coordinator/manager	1	1	1	Unit tests, Integration tests, User Acceptance Tests (UAT)	1	Unit tests, Integration tests, Smoke tests, User Acceptance Tests (UAT), Automated UAT	1	Source code, Scripts, Configuration files (Travis, Puppet, Docker, Kubernetes...), Test data management	0	Git-flow	0	0	The whole system		Are self-organizing	1	Scrum	2	4	5
Republic of Macedonia	1	4	1	1	1	Physical boards, Software	1	Explicit feedback (surveys, emails...), Metrics (usage, errors, load...)	1	From client, From development team	1	1	1	Unit tests, Integration tests, Smoke tests, User Acceptance Tests (UAT), Automated UAT, Load tests	1	Unit tests, Integration tests, Smoke tests, User Acceptance Tests (UAT), Automated UAT, Load tests	1	Source code, Dependencies, Scripts, Configuration files (Travis, Puppet, Docker, Kubernetes...), Test data management	0	Multiple branches (per client, release...)	1	1		1.0	Are self-organizing, Choose their own development tools	1	Scrum, Kanban, Lean	3	4	3
